[36mMigrations[39m[36m:[39m [36mUp to date at version 003[39m
[32mGhost is running...[39m 
Your blog is now available on http://timblinetics.azurewebsites.net [90m
Ctrl+C to shut down[39m
195.154.173.103:57549 - - [Fri, 29 Jan 2016 01:43:52 GMT] "GET /creating-and-deploying-a-node-js-application-using-the-mean-stack-to-microsoft-azure/ HTTP/1.1" 200 - "http://timblinetics.azurewebsites.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5"
186.146.166.33:54357 - - [Fri, 29 Jan 2016 02:02:28 GMT] "GET /ghost-on-windows-azure/ HTTP/1.1" 200 - "https://www.google.com.co/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54357 - - [Fri, 29 Jan 2016 02:02:28 GMT] "GET /assets/css/screen.css?v=dd3dba2751 HTTP/1.1" 200 - "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54359 - - [Fri, 29 Jan 2016 02:02:28 GMT] "GET /assets/js/jquery.fitvids.js?v=dd3dba2751 HTTP/1.1" 200 - "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54358 - - [Fri, 29 Jan 2016 02:02:28 GMT] "GET /assets/js/index.js?v=dd3dba2751 HTTP/1.1" 200 - "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54360 - - [Fri, 29 Jan 2016 02:02:28 GMT] "GET /assets/js/bootstrap.min.js?v=dd3dba2751 HTTP/1.1" 200 - "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54362 - - [Fri, 29 Jan 2016 02:02:28 GMT] "GET /assets/css/bootstrap.min.css?v=dd3dba2751 HTTP/1.1" 200 - "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54361 - - [Fri, 29 Jan 2016 02:02:29 GMT] "GET /public/jquery.min.js?v=dd3dba2751 HTTP/1.1" 200 - "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54362 - - [Fri, 29 Jan 2016 02:02:29 GMT] "GET /content/images/2014/11/download.png HTTP/1.1" 200 3192 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54357 - - [Fri, 29 Jan 2016 02:02:29 GMT] "GET /content/images/2014/11/ghost.png HTTP/1.1" 200 2303 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54360 - - [Fri, 29 Jan 2016 02:02:29 GMT] "GET /content/images/2014/11/AzureWebSites.png HTTP/1.1" 200 111795 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54359 - - [Fri, 29 Jan 2016 02:02:30 GMT] "GET /content/images/2014/11/3.png HTTP/1.1" 200 166022 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54357 - - [Fri, 29 Jan 2016 02:02:30 GMT] "GET /content/images/2014/11/4.png HTTP/1.1" 200 153792 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54358 - - [Fri, 29 Jan 2016 02:02:30 GMT] "GET /content/images/2014/11/Step2.png HTTP/1.1" 200 99599 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54361 - - [Fri, 29 Jan 2016 02:02:30 GMT] "GET /assets/images/AboutMe.png?v=dd3dba2751 HTTP/1.1" 200 3970 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54362 - - [Fri, 29 Jan 2016 02:02:30 GMT] "GET /assets/fonts/casper-icons.woff HTTP/1.1" 200 2260 "https://timblinetics.azurewebsites.net/assets/css/screen.css?v=dd3dba2751" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
186.146.166.33:54360 - - [Fri, 29 Jan 2016 02:02:30 GMT] "GET /assets/images/fb.png?v=dd3dba2751 HTTP/1.1" 200 4968 "https://timblinetics.azurewebsites.net/ghost-on-windows-azure/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36"
