[36mMigrations[39m[36m:[39m [36mUp to date at version 003[39m
[32mGhost is running...[39m 
Your blog is now available on http://timblinetics.azurewebsites.net [90m
Ctrl+C to shut down[39m
66.249.65.68:37448 - - [Wed, 27 Jan 2016 15:46:23 GMT] "GET /assets/images/instagram.png?v=ba17ff26b0 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.68:55565 - - [Wed, 27 Jan 2016 15:46:24 GMT] "GET /assets/images/AboutMe.png?v=27d7f3d083 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:46:59 GMT] "GET /assets/images/fb.png?v=774c556804 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:47:00 GMT] "GET /assets/images/instagram.png?v=774c556804 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:47:13 GMT] "GET /assets/images/flickr.png?v=ba17ff26b0 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:47:13 GMT] "GET /assets/images/linkedin.png?v=774c556804 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:47:27 GMT] "GET /assets/images/linkedin.png?v=ba17ff26b0 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:47:32 GMT] "GET /assets/images/flickr.png?v=774c556804 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:48:17 GMT] "GET /assets/images/twitter.png?v=27d7f3d083 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:48:28 GMT] "GET /assets/images/fb.png?v=ba17ff26b0 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:48:42 GMT] "GET /assets/images/twitter.png?v=ba17ff26b0 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.68:56275 - - [Wed, 27 Jan 2016 15:49:08 GMT] "GET /assets/images/fb.png?v=27d7f3d083 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:49:29 GMT] "GET /assets/images/twitter.png?v=774c556804 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:49:47 GMT] "GET /assets/images/instagram.png?v=27d7f3d083 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:50:39 GMT] "GET /assets/images/AboutMe.png?v=774c556804 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:50:50 GMT] "GET /assets/images/AboutMe.png?v=ba17ff26b0 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:51:15 GMT] "GET /assets/images/linkedin.png?v=27d7f3d083 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.65:39937 - - [Wed, 27 Jan 2016 15:51:25 GMT] "GET /assets/images/flickr.png?v=27d7f3d083 HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
66.249.65.71:64381 - - [Wed, 27 Jan 2016 16:02:12 GMT] "GET /robots.txt HTTP/1.1" 200 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.68:34440 - - [Wed, 27 Jan 2016 16:02:30 GMT] "GET /assets/images/fb.png?v=20ba99caba HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
